Crime_ID,Date,Year,City,State,Crime_Category,Crime_Type,Severity,Cases_Reported,Case_Status
CR00287,2024-09-05,2024,Pune,Maharashtra,Women,Harassment,Medium,368,Chargesheet Filed
CR00288,2020-05-15,2020,Chennai,Tamil Nadu,Traffic,Drunk Driving,Low,64,Under Investigation
CR00289,2023-06-18,2023,Pune,Maharashtra,Traffic,Hit and Run,Low,336,Closed
CR00290,2023-08-19,2023,Surat,Gujarat,Violent,Assault,High,481,Open
CR00291,2020-08-11,2020,Jodhpur,Rajasthan,Violent,Assault,Low,473,Chargesheet Filed
CR00292,2020-10-01,2020,Visakhapatnam,Andhra Pradesh,Violent,Robbery,Low,384,Closed
CR00293,2026-09-30,2026,Kochi,Kerala,Violent,Assault,Medium,223,Closed
CR00294,2024-06-09,2024,Jodhpur,Rajasthan,Women,Stalking,Medium,11,Closed
CR00295,2021-06-16,2021,Salem,Tamil Nadu,Cyber,UPI Fraud,High,16,Under Investigation
CR00296,2022-07-03,2022,Salem,Tamil Nadu,Property,Theft,Medium,269,Chargesheet Filed
CR00297,2020-05-29,2020,Nashik,Maharashtra,Violent,Robbery,Medium,241,Chargesheet Filed
CR00298,2023-06-28,2023,Nashik,Maharashtra,Traffic,Hit and Run,Low,498,Closed
CR00299,2024-03-15,2024,Coimbatore,Tamil Nadu,Cyber,Phishing,High,70,Open
CR00300,2023-11-13,2023,Delhi,Delhi,Women,Harassment,Low,488,Under Investigation
CR00301,2023-05-25,2023,Patna,Bihar,Women,Harassment,Medium,237,Closed
CR00302,2022-08-03,2022,Thiruvananthapuram,Kerala,Violent,Assault,Medium,234,Closed
CR00303,2024-05-30,2024,Jaipur,Rajasthan,Violent,Assault,Low,90,Closed
CR00304,2023-01-17,2023,Amritsar,Punjab,Women,Harassment,High,500,Open
CR00305,2022-06-07,2022,Aurangabad,Maharashtra,Violent,Robbery,Low,185,Chargesheet Filed
CR00306,2022-04-08,2022,Siliguri,West Bengal,Cyber,UPI Fraud,Medium,109,Chargesheet Filed
CR00307,2020-12-04,2020,Faridabad,Haryana,Women,Stalking,High,326,Under Investigation
CR00308,2022-10-17,2022,Shimla,Himachal Pradesh,Violent,Assault,Medium,316,Closed
CR00309,2026-08-27,2026,Surat,Gujarat,Property,Burglary,Low,288,Chargesheet Filed
CR00310,2024-05-08,2024,Ahmedabad,Gujarat,Cyber,UPI Fraud,High,132,Closed
CR00311,2021-08-23,2021,Jammu,J&K,Women,Harassment,Low,93,Chargesheet Filed
CR00312,2024-10-01,2024,Ludhiana,Punjab,Traffic,Drunk Driving,Medium,186,Closed
CR00313,2025-03-15,2025,Siliguri,West Bengal,Women,Harassment,Medium,48,Closed
CR00314,2026-08-21,2026,Agra,Uttar Pradesh,Cyber,UPI Fraud,Medium,95,Open
CR00315,2020-10-24,2020,Shimla,Himachal Pradesh,Violent,Robbery,Low,138,Chargesheet Filed
CR00316,2021-11-07,2021,Nagpur,Maharashtra,Property,Theft,High,251,Under Investigation
CR00317,2026-04-13,2026,Kolkata,West Bengal,Property,Burglary,Low,321,Under Investigation
CR00318,2024-06-21,2024,Varanasi,Uttar Pradesh,Cyber,Phishing,Medium,362,Under Investigation
CR00319,2024-09-01,2024,Kanpur,Uttar Pradesh,Property,Theft,Medium,107,Under Investigation
CR00320,2021-08-04,2021,Siliguri,West Bengal,Property,Theft,High,481,Closed
CR00321,2024-03-11,2024,Amritsar,Punjab,Traffic,Hit and Run,High,428,Open
CR00322,2023-06-12,2023,Madurai,Tamil Nadu,Traffic,Drunk Driving,Medium,7,Closed
CR00323,2024-06-13,2024,Shimla,Himachal Pradesh,Women,Harassment,High,468,Under Investigation
CR00324,2023-10-27,2023,Chennai,Tamil Nadu,Property,Theft,Medium,242,Open
CR00325,2020-02-02,2020,Bhopal,Madhya Pradesh,Women,Harassment,Medium,252,Open
CR00326,2023-03-10,2023,Kochi,Kerala,Traffic,Drunk Driving,Medium,131,Under Investigation
CR00327,2023-06-26,2023,Ahmedabad,Gujarat,Traffic,Hit and Run,High,387,Chargesheet Filed
CR00328,2020-10-29,2020,Siliguri,West Bengal,Cyber,Phishing,Low,34,Closed
CR00329,2020-08-11,2020,Jaipur,Rajasthan,Cyber,Phishing,Low,477,Under Investigation
CR00330,2023-03-11,2023,Bengaluru,Karnataka,Traffic,Drunk Driving,Low,209,Closed
CR00331,2025-12-30,2025,Agra,Uttar Pradesh,Traffic,Hit and Run,Low,480,Open
CR00332,2022-12-26,2022,Raipur,Chhattisgarh,Violent,Assault,Low,491,Open
CR00333,2023-08-12,2023,Mumbai,Maharashtra,Cyber,UPI Fraud,Low,325,Open
CR00334,2025-04-16,2025,Aurangabad,Maharashtra,Traffic,Hit and Run,Medium,247,Open
CR00335,2021-12-13,2021,Nagpur,Maharashtra,Traffic,Hit and Run,High,19,Open
CR00336,2022-03-13,2022,Pune,Maharashtra,Property,Burglary,Low,264,Open
CR00337,2025-08-15,2025,Pune,Maharashtra,Women,Stalking,Medium,177,Open
CR00338,2024-01-28,2024,Shimla,Himachal Pradesh,Women,Stalking,Medium,327,Closed
CR00339,2020-12-11,2020,Tiruchirappalli,Tamil Nadu,Violent,Robbery,Low,192,Closed
CR00340,2020-09-22,2020,Surat,Gujarat,Violent,Assault,Low,267,Chargesheet Filed
CR00341,2022-08-03,2022,Raipur,Chhattisgarh,Women,Harassment,Low,358,Closed
CR00342,2021-07-29,2021,Varanasi,Uttar Pradesh,Women,Stalking,High,434,Under Investigation
CR00343,2023-02-11,2023,Delhi,Delhi,Traffic,Drunk Driving,High,249,Under Investigation
CR00344,2021-09-29,2021,Shimla,Himachal Pradesh,Women,Harassment,High,355,Open
CR00345,2024-10-16,2024,Udaipur,Rajasthan,Cyber,Phishing,Medium,51,Closed
CR00346,2020-11-04,2020,Thiruvananthapuram,Kerala,Property,Theft,Low,475,Open
CR00347,2020-05-18,2020,Ludhiana,Punjab,Women,Stalking,High,155,Closed
CR00348,2024-02-02,2024,Shimla,Himachal Pradesh,Cyber,Phishing,High,321,Chargesheet Filed
CR00349,2025-10-05,2025,Kanpur,Uttar Pradesh,Violent,Robbery,Medium,305,Chargesheet Filed
CR00350,2024-12-08,2024,Vijayawada,Andhra Pradesh,Traffic,Drunk Driving,Medium,247,Under Investigation
CR00351,2026-12-22,2026,Mumbai,Maharashtra,Women,Stalking,High,301,Chargesheet Filed
CR00352,2021-08-21,2021,Patna,Bihar,Traffic,Hit and Run,Medium,235,Under Investigation
CR00353,2023-06-13,2023,Jammu,J&K,Cyber,UPI Fraud,Low,96,Open
CR00354,2020-10-19,2020,Noida,Uttar Pradesh,Traffic,Hit and Run,Medium,451,Under Investigation
CR00355,2020-04-06,2020,Nashik,Maharashtra,Property,Burglary,High,317,Chargesheet Filed
CR00356,2020-09-03,2020,Indore,Madhya Pradesh,Women,Stalking,Low,237,Open
CR00357,2022-05-31,2022,Bengaluru,Karnataka,Cyber,UPI Fraud,High,379,Under Investigation
CR00358,2024-04-18,2024,Bhubaneswar,Odisha,Women,Harassment,Medium,322,Chargesheet Filed
CR00359,2024-10-19,2024,Kolkata,West Bengal,Traffic,Drunk Driving,High,346,Chargesheet Filed
CR00360,2022-10-05,2022,Amritsar,Punjab,Women,Stalking,Medium,307,Chargesheet Filed
CR00361,2026-05-17,2026,Ahmedabad,Gujarat,Cyber,UPI Fraud,High,234,Chargesheet Filed
CR00362,2025-12-28,2025,Udaipur,Rajasthan,Cyber,UPI Fraud,Low,211,Under Investigation
CR00363,2020-06-20,2020,Kolkata,West Bengal,Women,Harassment,Low,145,Open
CR00364,2020-05-11,2020,Vadodara,Gujarat,Women,Harassment,Medium,303,Chargesheet Filed
CR00365,2020-08-11,2020,Pune,Maharashtra,Property,Burglary,Low,22,Open
CR00366,2025-11-30,2025,Panaji,Goa,Property,Burglary,Low,464,Closed
CR00367,2023-06-21,2023,Ranchi,Jharkhand,Traffic,Hit and Run,High,133,Under Investigation
CR00368,2021-07-18,2021,Vadodara,Gujarat,Violent,Assault,Medium,196,Under Investigation
CR00369,2023-12-31,2023,Thiruvananthapuram,Kerala,Traffic,Hit and Run,Medium,398,Closed
CR00370,2024-05-23,2024,Jaipur,Rajasthan,Violent,Assault,High,114,Chargesheet Filed
CR00371,2021-02-17,2021,Amritsar,Punjab,Women,Harassment,Low,225,Chargesheet Filed
CR00372,2023-09-12,2023,Vadodara,Gujarat,Property,Burglary,Low,350,Closed
CR00373,2026-11-15,2026,Ranchi,Jharkhand,Cyber,Phishing,Low,285,Open
CR00374,2026-01-28,2026,Vadodara,Gujarat,Violent,Assault,High,481,Closed
CR00375,2024-04-21,2024,Salem,Tamil Nadu,Women,Stalking,Medium,325,Open
CR00376,2020-10-13,2020,Kochi,Kerala,Property,Burglary,Medium,246,Chargesheet Filed
CR00377,2021-06-14,2021,Siliguri,West Bengal,Traffic,Drunk Driving,Medium,94,Open
CR00378,2022-09-25,2022,Varanasi,Uttar Pradesh,Violent,Assault,Low,354,Closed
CR00379,2020-09-07,2020,Ranchi,Jharkhand,Violent,Assault,High,46,Under Investigation
CR00380,2020-04-25,2020,Aurangabad,Maharashtra,Traffic,Drunk Driving,Low,470,Open
CR00381,2024-10-28,2024,Delhi,Delhi,Property,Burglary,High,442,Under Investigation
CR00382,2024-05-24,2024,Indore,Madhya Pradesh,Property,Theft,Medium,134,Under Investigation
CR00383,2022-11-27,2022,Lucknow,Uttar Pradesh,Women,Harassment,Medium,232,Chargesheet Filed
CR00384,2022-09-01,2022,Guwahati,Assam,Violent,Assault,High,181,Open
CR00385,2026-04-10,2026,Patna,Bihar,Traffic,Hit and Run,Low,395,Closed
CR00386,2025-06-17,2025,Nashik,Maharashtra,Traffic,Hit and Run,High,82,Closed
CR00387,2023-01-06,2023,Madurai,Tamil Nadu,Violent,Assault,High,224,Open
CR00388,2023-01-07,2023,Jammu,J&K,Violent,Assault,Low,443,Under Investigation
CR00389,2022-07-31,2022,Delhi,Delhi,Cyber,Phishing,Low,50,Chargesheet Filed
CR00390,2025-09-07,2025,Bengaluru,Karnataka,Traffic,Drunk Driving,Medium,352,Chargesheet Filed
CR00391,2026-02-14,2026,Jaipur,Rajasthan,Violent,Robbery,Low,362,Under Investigation
CR00392,2023-02-16,2023,Ranchi,Jharkhand,Property,Theft,High,297,Closed
CR00393,2020-05-18,2020,Aurangabad,Maharashtra,Property,Theft,Medium,184,Open
CR00394,2024-01-01,2024,Dehradun,Uttarakhand,Violent,Assault,High,157,Chargesheet Filed
CR00395,2026-09-26,2026,Panaji,Goa,Traffic,Drunk Driving,High,262,Under Investigation
CR00396,2022-05-04,2022,Indore,Madhya Pradesh,Traffic,Hit and Run,High,360,Open
CR00397,2026-06-22,2026,Bengaluru,Karnataka,Women,Stalking,Medium,154,Under Investigation
CR00398,2021-03-08,2021,Bengaluru,Karnataka,Property,Burglary,Low,461,Closed
CR00399,2024-06-25,2024,Dehradun,Uttarakhand,Traffic,Drunk Driving,Medium,333,Open
CR00400,2020-03-11,2020,Gurugram,Haryana,Traffic,Hit and Run,Medium,257,Chargesheet Filed
CR00401,2025-09-18,2025,Pune,Maharashtra,Cyber,Phishing,High,369,Open
CR00402,2024-06-02,2024,Indore,Madhya Pradesh,Property,Theft,Medium,177,Under Investigation
CR00403,2021-01-04,2021,Jaipur,Rajasthan,Violent,Assault,High,131,Closed
CR00404,2021-01-04,2021,Lucknow,Uttar Pradesh,Property,Theft,Medium,272,Under Investigation
CR00405,2024-12-02,2024,Mumbai,Maharashtra,Women,Harassment,Medium,331,Closed
CR00406,2025-05-08,2025,Agra,Uttar Pradesh,Property,Burglary,Medium,46,Under Investigation
CR00407,2024-06-26,2024,Jabalpur,Madhya Pradesh,Property,Burglary,Medium,32,Chargesheet Filed
CR00408,2024-06-02,2024,Nashik,Maharashtra,Violent,Robbery,High,12,Open
CR00409,2026-05-30,2026,Agra,Uttar Pradesh,Property,Burglary,Medium,243,Chargesheet Filed
CR00410,2022-07-03,2022,Jabalpur,Madhya Pradesh,Violent,Robbery,Medium,430,Closed
CR00411,2021-01-05,2021,Kanpur,Uttar Pradesh,Traffic,Hit and Run,High,184,Closed
CR00412,2025-04-29,2025,Udaipur,Rajasthan,Violent,Robbery,High,109,Under Investigation
CR00413,2021-07-07,2021,Bhubaneswar,Odisha,Violent,Robbery,Medium,86,Open
CR00414,2025-09-07,2025,Amritsar,Punjab,Women,Stalking,Low,401,Open
CR00415,2024-03-19,2024,Jodhpur,Rajasthan,Traffic,Drunk Driving,Low,401,Open
CR00416,2022-08-25,2022,Lucknow,Uttar Pradesh,Cyber,Phishing,Medium,311,Closed
CR00417,2020-07-09,2020,Ahmedabad,Gujarat,Cyber,UPI Fraud,Medium,202,Under Investigation
CR00418,2020-02-01,2020,Bhubaneswar,Odisha,Property,Burglary,Medium,114,Chargesheet Filed
CR00419,2024-07-30,2024,Bhubaneswar,Odisha,Violent,Assault,Medium,54,Open
CR00420,2026-07-30,2026,Aurangabad,Maharashtra,Cyber,Phishing,Medium,353,Open
CR00421,2022-09-17,2022,Jodhpur,Rajasthan,Violent,Robbery,High,439,Chargesheet Filed
CR00422,2021-10-19,2021,Ahmedabad,Gujarat,Cyber,Phishing,Low,137,Under Investigation
CR00423,2022-03-16,2022,Kochi,Kerala,Violent,Robbery,Low,323,Open
CR00424,2021-04-05,2021,Tiruchirappalli,Tamil Nadu,Property,Burglary,Medium,279,Chargesheet Filed
CR00425,2024-07-11,2024,Salem,Tamil Nadu,Violent,Robbery,High,142,Closed
CR00426,2026-11-12,2026,Vadodara,Gujarat,Cyber,Phishing,High,218,Open
CR00427,2023-07-18,2023,Jammu,J&K,Cyber,UPI Fraud,Medium,174,Open
CR00428,2022-08-11,2022,Lucknow,Uttar Pradesh,Cyber,UPI Fraud,Low,68,Open
CR00429,2022-09-06,2022,Jodhpur,Rajasthan,Women,Stalking,Low,254,Open
CR00430,2020-11-06,2020,Guntur,Andhra Pradesh,Women,Stalking,Medium,328,Open
CR00431,2026-12-09,2026,Guwahati,Assam,Property,Burglary,High,421,Under Investigation
CR00432,2023-09-30,2023,Bengaluru,Karnataka,Violent,Robbery,Medium,194,Open
CR00433,2024-09-25,2024,Siliguri,West Bengal,Cyber,UPI Fraud,Low,20,Chargesheet Filed
CR00434,2022-11-11,2022,Indore,Madhya Pradesh,Violent,Robbery,High,262,Closed
CR00435,2022-07-11,2022,Coimbatore,Tamil Nadu,Violent,Robbery,High,157,Closed
CR00436,2025-04-13,2025,Jammu,J&K,Women,Stalking,Medium,306,Closed
CR00437,2025-05-21,2025,Bhopal,Madhya Pradesh,Property,Burglary,Low,224,Open
CR00438,2022-02-23,2022,Madurai,Tamil Nadu,Violent,Assault,High,72,Under Investigation
CR00439,2023-03-16,2023,Bengaluru,Karnataka,Violent,Assault,High,484,Under Investigation
CR00440,2021-06-18,2021,Siliguri,West Bengal,Violent,Robbery,Medium,153,Open
CR00441,2026-05-26,2026,Lucknow,Uttar Pradesh,Violent,Assault,High,441,Chargesheet Filed
CR00442,2022-09-06,2022,Guntur,Andhra Pradesh,Cyber,UPI Fraud,Low,421,Open
CR00443,2021-08-01,2021,Noida,Uttar Pradesh,Cyber,Phishing,Medium,126,Under Investigation
CR00444,2023-03-27,2023,Lucknow,Uttar Pradesh,Traffic,Drunk Driving,Low,273,Under Investigation
CR00445,2021-02-12,2021,Kolkata,West Bengal,Property,Theft,Low,44,Closed
CR00446,2020-07-29,2020,Raipur,Chhattisgarh,Women,Harassment,Medium,300,Under Investigation
CR00447,2025-02-03,2025,Jodhpur,Rajasthan,Cyber,UPI Fraud,High,388,Open
CR00448,2020-02-19,2020,Salem,Tamil Nadu,Property,Theft,Medium,87,Under Investigation
CR00449,2020-12-03,2020,Surat,Gujarat,Traffic,Hit and Run,Low,346,Open
CR00450,2021-04-23,2021,Guwahati,Assam,Women,Stalking,Medium,342,Under Investigation
CR00451,2026-06-02,2026,Jabalpur,Madhya Pradesh,Women,Harassment,High,361,Under Investigation
CR00452,2025-11-14,2025,Udaipur,Rajasthan,Property,Theft,High,270,Chargesheet Filed
CR00453,2025-10-19,2025,Dehradun,Uttarakhand,Women,Stalking,Low,305,Open
CR00454,2024-11-01,2024,Kolkata,West Bengal,Traffic,Hit and Run,Low,220,Open
CR00455,2021-10-04,2021,Lucknow,Uttar Pradesh,Women,Stalking,Medium,57,Open
CR00456,2021-05-19,2021,Dhanbad,Jharkhand,Property,Theft,Medium,199,Under Investigation
CR00457,2021-02-20,2021,Nagpur,Maharashtra,Women,Stalking,Medium,376,Closed
CR00458,2025-07-10,2025,Jammu,J&K,Cyber,Phishing,High,295,Open
CR00459,2024-01-15,2024,Mumbai,Maharashtra,Violent,Assault,Medium,319,Closed
CR00460,2023-12-13,2023,Jaipur,Rajasthan,Violent,Robbery,Medium,57,Under Investigation
CR00461,2026-10-16,2026,Bhopal,Madhya Pradesh,Traffic,Hit and Run,Medium,17,Chargesheet Filed
CR00462,2021-04-26,2021,Aurangabad,Maharashtra,Property,Burglary,Medium,385,Open
CR00463,2026-11-21,2026,Delhi,Delhi,Traffic,Drunk Driving,Low,296,Open
CR00464,2021-01-31,2021,Noida,Uttar Pradesh,Cyber,Phishing,Medium,43,Chargesheet Filed
CR00465,2025-08-27,2025,Visakhapatnam,Andhra Pradesh,Women,Harassment,Low,424,Chargesheet Filed
CR00466,2025-08-06,2025,Panaji,Goa,Property,Burglary,Low,107,Closed
CR00467,2020-02-14,2020,Guntur,Andhra Pradesh,Women,Harassment,Low,139,Closed
CR00468,2026-01-14,2026,Bhubaneswar,Odisha,Traffic,Drunk Driving,Low,489,Open
CR00469,2021-07-05,2021,Kanpur,Uttar Pradesh,Traffic,Hit and Run,High,418,Open
CR00470,2023-05-02,2023,Ahmedabad,Gujarat,Cyber,UPI Fraud,Medium,332,Under Investigation
CR00471,2026-06-06,2026,Mumbai,Maharashtra,Violent,Assault,High,187,Chargesheet Filed
CR00472,2022-10-26,2022,Vijayawada,Andhra Pradesh,Violent,Assault,High,353,Under Investigation
CR00473,2024-04-11,2024,Patna,Bihar,Violent,Robbery,Low,390,Open
CR00474,2020-12-30,2020,Kolkata,West Bengal,Cyber,Phishing,Low,99,Open
CR00475,2024-10-06,2024,Kanpur,Uttar Pradesh,Cyber,Phishing,Low,239,Closed
CR00476,2025-03-17,2025,Madurai,Tamil Nadu,Violent,Assault,Low,364,Closed
CR00477,2020-12-16,2020,Nashik,Maharashtra,Cyber,UPI Fraud,High,126,Chargesheet Filed
CR00478,2026-01-01,2026,Bengaluru,Karnataka,Traffic,Hit and Run,High,433,Chargesheet Filed
CR00479,2023-10-28,2023,Hyderabad,Telangana,Property,Burglary,High,141,Closed
CR00480,2022-01-08,2022,Vijayawada,Andhra Pradesh,Violent,Assault,Medium,114,Under Investigation
CR00481,2025-03-09,2025,Coimbatore,Tamil Nadu,Cyber,Phishing,Medium,18,Under Investigation
CR00482,2023-07-26,2023,Coimbatore,Tamil Nadu,Cyber,UPI Fraud,Medium,337,Open
CR00483,2022-03-12,2022,Nagpur,Maharashtra,Women,Harassment,Low,332,Under Investigation
CR00484,2021-11-19,2021,Gurugram,Haryana,Women,Harassment,High,63,Open
CR00485,2021-08-31,2021,Surat,Gujarat,Traffic,Drunk Driving,Low,423,Under Investigation
CR00486,2020-07-13,2020,Ahmedabad,Gujarat,Cyber,Phishing,High,485,Under Investigation
CR00487,2024-06-21,2024,Jabalpur,Madhya Pradesh,Traffic,Hit and Run,Low,353,Closed
CR00488,2021-11-25,2021,Jabalpur,Madhya Pradesh,Women,Harassment,Low,201,Under Investigation
CR00489,2024-10-04,2024,Udaipur,Rajasthan,Cyber,Phishing,Low,320,Under Investigation
CR00490,2021-08-12,2021,Guntur,Andhra Pradesh,Women,Harassment,Low,423,Chargesheet Filed
CR00491,2023-07-14,2023,Thiruvananthapuram,Kerala,Property,Burglary,High,429,Closed
CR00492,2021-05-30,2021,Ahmedabad,Gujarat,Property,Theft,Medium,410,Open
CR00493,2025-05-30,2025,Thiruvananthapuram,Kerala,Traffic,Hit and Run,Medium,226,Chargesheet Filed
CR00494,2021-01-16,2021,Shimla,Himachal Pradesh,Cyber,UPI Fraud,Low,250,Under Investigation
CR00495,2026-05-22,2026,Faridabad,Haryana,Violent,Robbery,High,165,Under Investigation
CR00496,2025-12-09,2025,Noida,Uttar Pradesh,Traffic,Hit and Run,Medium,295,Closed
CR00497,2025-05-22,2025,Varanasi,Uttar Pradesh,Women,Stalking,Low,416,Chargesheet Filed
CR00498,2022-04-11,2022,Jodhpur,Rajasthan,Cyber,Phishing,High,178,Open
CR00499,2024-09-13,2024,Dhanbad,Jharkhand,Traffic,Drunk Driving,Low,10,Chargesheet Filed
CR00500,2024-06-07,2024,Madurai,Tamil Nadu,Property,Theft,Low,336,Closed
CR00501,2023-03-01,2023,Salem,Tamil Nadu,Property,Theft,Medium,244,Open
CR00502,2026-12-26,2026,Vijayawada,Andhra Pradesh,Cyber,UPI Fraud,High,57,Open
CR00503,2023-05-23,2023,Raipur,Chhattisgarh,Women,Harassment,Low,323,Chargesheet Filed
CR00504,2020-02-16,2020,Noida,Uttar Pradesh,Traffic,Hit and Run,Low,379,Under Investigation
CR00505,2023-11-26,2023,Srinagar,J&K,Property,Theft,High,143,Closed
CR00506,2021-09-10,2021,Delhi,Delhi,Traffic,Hit and Run,Medium,441,Chargesheet Filed
CR00507,2023-12-19,2023,Delhi,Delhi,Property,Burglary,Low,15,Closed
CR00508,2024-08-04,2024,Indore,Madhya Pradesh,Cyber,Phishing,High,5,Open
CR00509,2024-04-28,2024,Udaipur,Rajasthan,Property,Theft,Medium,36,Under Investigation
CR00510,2025-04-07,2025,Mysuru,Karnataka,Property,Burglary,Medium,62,Chargesheet Filed
CR00511,2020-07-02,2020,Nagpur,Maharashtra,Violent,Robbery,High,265,Open
CR00512,2023-12-09,2023,Indore,Madhya Pradesh,Property,Burglary,Medium,187,Closed
CR00513,2026-09-05,2026,Bhubaneswar,Odisha,Property,Burglary,High,310,Open
CR00514,2020-12-20,2020,Bengaluru,Karnataka,Violent,Assault,Low,448,Open
CR00515,2026-11-18,2026,Salem,Tamil Nadu,Cyber,UPI Fraud,Low,450,Closed
CR00516,2024-07-09,2024,Noida,Uttar Pradesh,Women,Stalking,Low,32,Closed
CR00517,2024-03-03,2024,Mumbai,Maharashtra,Property,Theft,High,263,Chargesheet Filed
CR00518,2023-04-29,2023,Indore,Madhya Pradesh,Traffic,Drunk Driving,Low,288,Under Investigation
CR00519,2021-08-26,2021,Amritsar,Punjab,Cyber,Phishing,Low,321,Chargesheet Filed
CR00520,2024-07-12,2024,Guntur,Andhra Pradesh,Women,Stalking,High,264,Closed
CR00521,2020-12-13,2020,Indore,Madhya Pradesh,Property,Burglary,Low,471,Open
CR00522,2022-03-17,2022,Mumbai,Maharashtra,Property,Burglary,High,118,Under Investigation
CR00523,2020-08-23,2020,Faridabad,Haryana,Violent,Robbery,Medium,168,Open
CR00524,2020-09-04,2020,Noida,Uttar Pradesh,Property,Burglary,Low,280,Chargesheet Filed
CR00525,2022-09-24,2022,Srinagar,J&K,Traffic,Drunk Driving,Low,474,Closed
CR00526,2021-06-23,2021,Bhopal,Madhya Pradesh,Cyber,Phishing,Medium,159,Closed
CR00527,2021-07-14,2021,Nagpur,Maharashtra,Cyber,Phishing,Low,375,Closed
CR00528,2025-09-18,2025,Aurangabad,Maharashtra,Property,Theft,High,399,Under Investigation
CR00529,2020-07-03,2020,Pune,Maharashtra,Traffic,Hit and Run,Medium,467,Chargesheet Filed
CR00530,2025-10-13,2025,Guntur,Andhra Pradesh,Property,Burglary,Low,30,Closed
CR00531,2021-11-13,2021,Guntur,Andhra Pradesh,Cyber,UPI Fraud,Medium,319,Under Investigation
CR00532,2026-05-31,2026,Amritsar,Punjab,Violent,Robbery,Low,92,Open
CR00533,2025-12-10,2025,Kochi,Kerala,Violent,Robbery,Medium,275,Open
CR00534,2022-04-08,2022,Indore,Madhya Pradesh,Traffic,Hit and Run,Low,87,Closed
CR00535,2025-03-30,2025,Bengaluru,Karnataka,Property,Burglary,Low,142,Open
CR00536,2020-07-22,2020,Udaipur,Rajasthan,Violent,Assault,High,17,Chargesheet Filed
CR00537,2025-01-13,2025,Shimla,Himachal Pradesh,Violent,Assault,High,113,Open
CR00538,2026-08-03,2026,Chennai,Tamil Nadu,Women,Harassment,High,51,Under Investigation
CR00539,2021-02-04,2021,Gurugram,Haryana,Traffic,Hit and Run,Low,439,Chargesheet Filed
CR00540,2022-04-22,2022,Srinagar,J&K,Property,Theft,High,186,Closed
CR00541,2025-04-17,2025,Udaipur,Rajasthan,Property,Burglary,High,382,Open
CR00542,2025-08-04,2025,Ludhiana,Punjab,Property,Theft,Medium,208,Under Investigation
CR00543,2023-03-09,2023,Nagpur,Maharashtra,Violent,Robbery,Medium,338,Under Investigation
CR00544,2022-08-24,2022,Thiruvananthapuram,Kerala,Property,Theft,Medium,152,Chargesheet Filed
CR00545,2024-03-08,2024,Bengaluru,Karnataka,Property,Burglary,Low,9,Under Investigation
CR00546,2024-03-31,2024,Bhopal,Madhya Pradesh,Women,Harassment,Medium,467,Closed
CR00547,2023-07-29,2023,Jaipur,Rajasthan,Cyber,Phishing,Medium,167,Open
CR00548,2023-05-28,2023,Vijayawada,Andhra Pradesh,Violent,Robbery,Low,135,Chargesheet Filed
CR00549,2025-11-10,2025,Vadodara,Gujarat,Cyber,UPI Fraud,Low,109,Open
CR00550,2022-08-19,2022,Madurai,Tamil Nadu,Women,Stalking,High,230,Under Investigation
CR00551,2020-05-23,2020,Nashik,Maharashtra,Violent,Assault,High,465,Under Investigation
CR00552,2026-06-30,2026,Chennai,Tamil Nadu,Women,Harassment,Low,419,Under Investigation
CR00553,2022-12-04,2022,Udaipur,Rajasthan,Cyber,Phishing,High,151,Open
CR00554,2022-10-25,2022,Gurugram,Haryana,Women,Harassment,Medium,271,Under Investigation
CR00555,2020-12-22,2020,Hyderabad,Telangana,Traffic,Drunk Driving,Medium,238,Chargesheet Filed
CR00556,2024-04-06,2024,Vijayawada,Andhra Pradesh,Women,Harassment,Medium,290,Under Investigation
CR00557,2025-08-20,2025,Jodhpur,Rajasthan,Violent,Robbery,Low,103,Open
CR00558,2024-02-29,2024,Bengaluru,Karnataka,Property,Theft,High,386,Under Investigation
CR00559,2023-03-20,2023,Panaji,Goa,Property,Theft,Medium,405,Chargesheet Filed
CR00560,2023-11-05,2023,Tiruchirappalli,Tamil Nadu,Property,Theft,Low,483,Open
CR00561,2021-04-21,2021,Jabalpur,Madhya Pradesh,Women,Stalking,High,396,Closed
CR00562,2020-08-02,2020,Bengaluru,Karnataka,Property,Burglary,High,254,Chargesheet Filed
CR00563,2021-09-20,2021,Jabalpur,Madhya Pradesh,Cyber,UPI Fraud,Medium,79,Under Investigation
CR00564,2026-04-10,2026,Jodhpur,Rajasthan,Women,Harassment,High,165,Closed
CR00565,2025-08-12,2025,Coimbatore,Tamil Nadu,Cyber,Phishing,High,100,Open
CR00566,2024-02-25,2024,Tiruchirappalli,Tamil Nadu,Cyber,UPI Fraud,Medium,155,Open
CR00567,2023-11-30,2023,Bhopal,Madhya Pradesh,Violent,Assault,Medium,370,Chargesheet Filed
CR00568,2021-02-25,2021,Jodhpur,Rajasthan,Traffic,Drunk Driving,High,411,Open
CR00569,2026-09-13,2026,Nashik,Maharashtra,Property,Burglary,High,325,Open
CR00570,2020-10-24,2020,Agra,Uttar Pradesh,Violent,Assault,Medium,135,Closed
CR00571,2023-07-19,2023,Lucknow,Uttar Pradesh,Women,Stalking,Medium,153,Under Investigation
CR00572,2025-02-16,2025,Chennai,Tamil Nadu,Women,Harassment,Low,177,Closed
CR00573,2025-12-21,2025,Surat,Gujarat,Violent,Assault,High,180,Chargesheet Filed
